"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/ETH_BTC 交易对接收参数如下： {""MaxCoinLimit"":30000,""MinCoinLimit"":0,""OperateFineness"":12,""NowCoinPrice"":0.08,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""HistoryHighPoint"":0.15,""HistoryLowPoint"":0.035,""Debug"":0,""TradeLimits"":{""LPOMinAmount"":0.01,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.0001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.01,""MPOMaxSellAmount"":10000}}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/ETH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-10-15 19:12:00,,,信息,,,当前基准买入价格 0.08 上次买入价格 0 动态买入点 0.05 当前持仓总量 0
2017-10-15 19:12:00,,,信息,,,Huobi/ETH_BTC交易对准备以 0.0584851 的价格买入 12 个币，当前账户余额为： 19.7863 。本次下单金额 0.7018211999999999 ，本次预期买入数量 12 ，预期成交价格 0.0584851
2017-10-15 19:12:00,Huobi,1,买入,市价,0.7018212,
2017-10-15 19:20:00,,,信息,,,Huobi/ETH_BTC 交易对订单 1 买入交易已经成功!成交均价： 0.0584851 ，挂单买入： 0.7018 ，买到数量： 11.9756
2017-10-15 19:20:00,,,信息,,,Huobi/ETH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.058602 ，总持仓数量： 11.9756 ，总持币成本： 0.701795
2017-10-19 14:20:00,,,信息,,,当前基准买入价格 0.0584851 上次买入价格 0.0584851 动态买入点 0.058 当前持仓总量 11.9756
2017-10-19 14:20:00,,,信息,,,Huobi/ETH_BTC交易对准备以 0.0547754 的价格买入 16.54474864339101 个币，当前账户余额为： 19.08450504 。本次下单金额 0.9062452248412 ，本次预期买入数量 16.54474864339101 ，预期成交价格 0.0547754
2017-10-19 14:20:00,Huobi,2,买入,市价,0.9062452248412,
2017-10-19 14:24:00,,,信息,,,Huobi/ETH_BTC 交易对订单 2 买入交易已经成功!成交均价： 0.0547754 ，挂单买入： 0.9062 ，买到数量： 16.5108
2017-10-19 14:24:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-19 14:24:00,,,信息,,,Huobi/ETH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-19 14:24:00,,,信息,,,Huobi/ETH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.056448 ，总持仓数量： 28.4864 ，总持币成本： 1.607989
2017-10-20 23:46:00,,,信息,,,当前基准买入价格 0.0547754 上次买入价格 0.0547754 动态买入点 0.066 当前持仓总量 28.4864
2017-10-20 23:46:00,,,信息,,,Huobi/ETH_BTC交易对准备以 0.0510001 的价格买入 19.64373724489796 个币，当前账户余额为： 18.1783106 。本次下单金额 1.0018325638635204 ，本次预期买入数量 19.64373724489796 ，预期成交价格 0.0510001
2017-10-20 23:46:00,Huobi,3,买入,市价,1.00183256386352,
2017-10-20 23:50:00,,,信息,,,Huobi/ETH_BTC 交易对订单 3 买入交易已经成功!成交均价： 0.0510001 ，挂单买入： 1.0018 ，买到数量： 19.6037
2017-10-20 23:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-20 23:50:00,,,信息,,,Huobi/ETH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-20 23:50:00,,,信息,,,Huobi/ETH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.054269 ，总持仓数量： 48.0901 ，总持币成本： 2.609791
