"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/LTC_BTC 交易对接收参数如下： {""MaxCoinLimit"":50000,""MinCoinLimit"":0,""OperateFineness"":100,""NowCoinPrice"":0.01,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""TradeLimits"":{""LPOMinAmount"":0.01,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.0001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.01,""MPOMaxSellAmount"":10000}}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/LTC_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-11-04 00:00:00,,,信息,,,当前基准买入价格 0.01 上次买入价格 0 动态买入点 0.05 当前持仓总量 0
2017-11-04 00:00:00,,,信息,,,Huobi/LTC_BTC交易对准备以 0.0075481 的价格买入 100 个币，当前账户余额为： 19.7863 。本次下单金额 0.75481 ，本次预期买入数量 100 ，预期成交价格 0.0075481
2017-11-04 00:00:00,Huobi,1,买入,市价,0.75481,
2017-11-04 00:04:00,,,信息,,,Huobi/LTC_BTC 交易对订单 1 买入交易已经成功!成交均价： 0.0075481 ，挂单买入： 0.7548 ，买到数量： 99.7986
2017-11-04 00:04:00,,,信息,,,Huobi/LTC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.007563 ，总持仓数量： 99.7986 ，总持币成本： 0.754796
2017-11-05 21:32:00,,,信息,,,当前基准买入价格 0.0075481 上次买入价格 0.0075481 动态买入点 0.042 当前持仓总量 99.7986
2017-11-05 21:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以 0.0072104 的价格买入 119.58111860372871 个币，当前账户余额为： 19.0315036 。本次下单金额 0.8622276975803255 ，本次预期买入数量 119.58111860372871 ，预期成交价格 0.0072104
2017-11-05 21:32:00,Huobi,2,买入,市价,0.862227697580325,
2017-11-05 21:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 2 买入交易已经成功!成交均价： 0.0072104 ，挂单买入： 0.8622 ，买到数量： 119.338
2017-11-05 21:36:00,,,信息,,,Huobi/LTC_BTC 交易对计划对当前成功的买入量做短线卖出挂单。
2017-11-05 21:36:00,Huobi,3,卖出,0.007383,39.7793333333333,
2017-11-05 21:36:00,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 2 %卖出挂单成功，订单编号 3
2017-11-05 21:36:00,Huobi,4,卖出,0.007456,39.7793333333333,
2017-11-05 21:36:00,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 3 %卖出挂单成功，订单编号 4
2017-11-05 21:36:01,Huobi,5,卖出,0.007528,39.7793333333333,
2017-11-05 21:36:01,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 4 %卖出挂单成功，订单编号 5
2017-11-05 21:36:06,,,信息,,,"Huobi/LTC_BTC 交易对死叉时存在短线交易买入挂单，现检测当前交易是否完成,没有完成强制取消挂单。"
2017-11-13 07:04:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0100711 的价格卖出 99.7987 个币，当前持仓总量 99.7987 动态卖出点 0.2 基准卖出价 0.007563
2017-11-13 07:04:00,Huobi,6,卖出,市价,99.7987,
2017-11-13 07:08:00,,,收益,0.248295,,
2017-11-13 07:08:00,,,信息,,,Huobi/LTC_BTC 交易对订单 6 交易成功!平均卖出价格： 0.0100711 ，平均持仓价格： 0.007563 ，卖出数量： 99.7987 ，毛收盈： 0.248295 ，累计毛收盈： 0.248295
