"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/ETC_BTC 交易对接收参数如下： {""MaxCoinLimit"":30000,""MinCoinLimit"":0,""OperateFineness"":350,""NowCoinPrice"":0.003,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""HistoryHighPoint"":0.0083,""HistoryLowPoint"":0.001,""Debug"":0,""TradeLimits"":{""LPOMinAmount"":0.01,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.0001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.01,""MPOMaxSellAmount"":10000}}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/ETC_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-10-16 13:46:00,,,信息,,,当前基准买入价格 0.003 上次买入价格 0 动态买入点 0.05 当前持仓总量 0
2017-10-16 13:46:00,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0020921 的价格买入 350 个币，当前账户余额为： 19.7863 。本次下单金额 0.732235 ，本次预期买入数量 350 ，预期成交价格 0.0020921
2017-10-16 13:46:00,Huobi,1,买入,市价,0.732235,
2017-10-16 13:50:00,,,信息,,,Huobi/ETC_BTC 交易对订单 1 买入交易已经成功!成交均价： 0.0020921 ，挂单买入： 0.7322 ，买到数量： 349.2832
2017-10-16 13:50:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.002096 ，总持仓数量： 349.2832 ，总持币成本： 0.732197
2017-10-16 15:54:00,,,信息,,,进入了死叉，对现有获利盘持仓进行平仓。
2017-10-16 15:54:00,,,信息,,,Huobi/ETC_BTC交易对准备以大约 0.0020974 的价格卖出 349.2832 个币，当前持仓总量 349.2832 动态卖出点 0.2 基准卖出价 0.002096
2017-10-16 15:54:00,Huobi,2,卖出,市价,349.2832,
2017-10-16 15:58:00,,,收益,-0.000976,,
2017-10-16 15:58:00,,,信息,,,Huobi/ETC_BTC 交易对订单 2 交易成功!平均卖出价格： 0.0020974 ，平均持仓价格： 0.002096 ，卖出数量： 349.2832 ，毛收盈： -0.000976 ，累计毛收盈： -0.000976
2017-10-16 15:58:00,,,信息,,,Huobi/ETC_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.002097
2017-10-16 15:58:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.002097 调到 0.0020985500000000002
2017-10-16 16:20:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.0020985500000000002 调到 0.00210005
2017-10-16 16:32:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.00210005 调到 0.0021030500000000004
2017-10-16 16:46:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.0021030500000000004 调到 0.00210605
2017-10-16 17:37:05,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.00210605 调到 0.00211305
2017-10-16 19:22:55,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.00211305 调到 0.00212405
2017-10-17 15:46:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.00212405 调到 0.0021280500000000003
2017-10-17 19:46:00,,,信息,,,当前已经完成平仓，但币价继续上升，适当调整买入指导价以防止指导价过低无法买入。从 0.0021280500000000003 调到 0.00213605
