"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/BCH_BTC 交易对接收参数如下： {""MaxCoinLimit"":50000,""MinCoinLimit"":20,""OperateFineness"":40,""NowCoinPrice"":0.139,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""MinStockAmount"":0.001,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-08 14:46:00,,,信息,,,满足时K线跌超30%加仓到50%的条件，可以操作买入
2017-12-08 14:46:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.5 ，预计花费 25.84
2017-12-08 14:46:00,Huobi,1,买入,市价,25.84,
2017-12-08 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 1 交易成功!成交均价： 0.0840001 ，挂单买入： 25.84 ，买到数量： 307.0033
2017-12-08 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.084168 ，总持仓数量： 307.0033 ，总持币成本： 25.839885
2017-12-20 08:46:00,,,信息,,,Huobi/BCH_BTC交易对当前发生了超过30%的超跌后回升超过8成，操作平仓
2017-12-20 08:46:00,Huobi,2,卖出,市价,287.0033,
2017-12-20 08:50:00,,,收益,33.702195,,
2017-12-20 08:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 2 交易成功!平均卖出价格： 0.2019999 ，平均持仓价格： 0.084168 ，卖出数量： 287.0033 ，毛收盈： 33.702195 ，累计毛收盈： 33.702195
2017-12-20 08:50:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.143084
2018-01-15 19:32:00,,,信息,,,满足时K线跌超40%加仓到60%的条件，可以操作买入
2018-01-15 19:32:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.6 ，预计花费 49.21128246
2018-01-15 19:32:00,Huobi,3,买入,市价,49.21128246,
2018-01-15 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 3 交易成功!成交均价： 0.1256391 ，挂单买入： 49.2112 ，买到数量： 390.9035
2018-01-15 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.12386 ，总持仓数量： 410.9035 ，总持币成本： 50.894349
2018-01-15 19:46:00,,,信息,,,满足时K线跌超70%加仓到90%的条件，可以操作买入
2018-01-15 19:46:00,,,信息,,,Huobi_BCH_BTC交易对当前需要快速操作买入加仓到 0.9 ，预计花费 25.617998185000005
2018-01-15 19:46:00,Huobi,4,买入,市价,25.617998185,
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对买入订单 4 交易成功!成交均价： 0.1000001 ，挂单买入： 25.6179 ，买到数量： 255.6663
2018-01-15 19:50:00,,,信息,,,当前账户余额在账户总价值的10%以内，不做短线交易
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.114785 ，总持仓数量： 666.5698 ，总持币成本： 76.512296
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1462711 的价格卖出 40 个币，当前持仓总量 666.5698 动态卖出点 0.2 基准卖出价 0.114785
2018-01-15 19:50:00,Huobi,5,卖出,市价,40,
2018-01-15 19:54:00,,,收益,34.949937,,
