"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/LTC_BTC 交易对接收参数如下： {""MaxCoinLimit"":50000,""MinCoinLimit"":0,""OperateFineness"":100,""NowCoinPrice"":0.01,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""TradeLimits"":{""LPOMinAmount"":0.01,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.0001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.01,""MPOMaxSellAmount"":10000}}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/LTC_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-11-25 00:00:00,,,信息,,,更改通过金叉标识为1
2017-12-02 00:00:00,,,信息,,,更改通过金叉标识为0
2017-12-12 00:00:00,,,信息,,,更改通过金叉标识为1
2017-12-12 06:32:00,,,信息,,,Huobi/LTC_BTC交易对准备以大约 0.0125589 的价格卖出 100 个币，当前持仓总量 1978.63 动态卖出点 0.2 基准卖出价 0.01
2017-12-12 06:32:00,Huobi,1,卖出,市价,100,
2017-12-12 06:36:00,,,收益,0.253378,,
2017-12-12 06:36:00,,,信息,,,Huobi/LTC_BTC 交易对订单 1 交易成功!平均卖出价格： 0.0125589 ，平均持仓价格： 0.01 ，卖出数量： 100 ，毛收盈： 0.253378 ，累计毛收盈： 0.253378
2017-12-12 11:12:00,,,信息,,,当前基准买入价格 0.01 上次买入价格 0 动态买入点 0.05 当前持仓总量 1878.63
2017-12-12 11:12:00,,,信息,,,Huobi/LTC_BTC交易对准备以 0.0060001 的价格买入 100 个币，当前账户余额为： 1.25337822 。本次下单金额 0.60001 ，本次预期买入数量 100 ，预期成交价格 0.0060001
2017-12-12 11:12:00,Huobi,2,买入,市价,0.60001,
2017-12-12 11:20:00,,,信息,,,Huobi/LTC_BTC 交易对订单 2 买入交易已经成功!成交均价： 0.0060001 ，挂单买入： 0.6 ，买到数量： 99.7983
2017-12-12 11:20:00,,,信息,,,Huobi/LTC_BTC 交易对计划对当前成功的买入量做短线卖出挂单。
2017-12-12 11:20:00,Huobi,3,卖出,0.006144,33.2661,
2017-12-12 11:20:00,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 2 %卖出挂单成功，订单编号 3
2017-12-12 11:20:00,Huobi,4,卖出,0.006204,33.2661,
2017-12-12 11:20:00,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 3 %卖出挂单成功，订单编号 4
2017-12-12 11:20:01,Huobi,5,卖出,0.006264,33.2661,
2017-12-12 11:20:01,,,信息,,,Huobi/LTC_BTC 交易对将当前成功的买入量的1/3做 4 %卖出挂单成功，订单编号 5
2017-12-12 11:20:06,,,信息,,,Huobi/LTC_BTC 进入金叉取消所有短线交易卖出挂单
2017-12-12 11:20:06,,,收益,0.344589,,
2017-12-12 11:20:06,,,信息,,,Huobi/LTC_BTC 交易对短线挂单 3 交易成功!卖出价格： 0.0087715 ，买入价格： 0.0060001 ，卖出数量： 33.2661 ，毛收盈： 0.091211 ，累计毛收盈： 0.344589
2017-12-12 11:20:06,,,收益,0.4358,,
2017-12-12 11:20:06,,,信息,,,Huobi/LTC_BTC 交易对短线挂单 4 交易成功!卖出价格： 0.0087715 ，买入价格： 0.0060001 ，卖出数量： 33.2661 ，毛收盈： 0.091211 ，累计毛收盈： 0.43579999999999997
2017-12-12 11:20:06,,,收益,0.527011,,
